,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O1,T1,0.8431838044,0.1852345488,0.012202634,0.114445893,0.0173960683,0.1021969058,Genuine
O2,T1,0.8592472967,0.1063465585,0.0031250037,0.2136419821,0.0170516549,0.1074974558,Genuine
O3,T1,0.8486188811,0.12974385,0.0066868241,0.0594110908,0.0178460611,0.1084737611,Genuine
O4,T1,0.8671640758,0.0970406997,0.0020182432,0.2625119352,0.017393049,0.1073332505,Genuine
O5,T1,0.9420669902,0.0338189451,0.0016246165,0.2976242126,0.0191801014,0.1078439495,Genuine
O6,T1,0.9510124346,0.0268144961,0.0023429897,0.248028517,0.0196540972,0.1100832813,Genuine
O7,T1,0.9278321552,0.0810668302,0.0083045163,0.0582145827,0.0237639007,0.1174036265,Genuine
O8,T1,0.8922375726,0.0727011309,0.0036604521,0.2463565973,0.0187279734,0.1171563764,Genuine
O9,T1,0.8554877353,0.0647545014,0.0069046464,0.1889451212,0.0207420949,0.1152745862,Genuine
O10,T1,0.9310136563,0.0356320909,0.0032221212,0.2996370256,0.0197780445,0.1156374648,Genuine
O11,T1,0.8808349188,0.0698392482,0.0083092714,0.156376786,0.0204393432,0.1163190518,Genuine
O12,T1,0.8973951706,0.0969073646,0.0075038461,0.053304319,0.0215231869,0.1009037046,Genuine
O13,T1,0.7967352676,0.1795617272,0.011265953,0.085289206,0.0216937032,0.1458608314,Genuine
O14,T1,0.8927722134,0.1290429459,0.0090571294,0.0489213946,0.0185304736,0.1226812038,Genuine
O15,T1,0.8549980097,0.2405567815,0.0188832278,0.0797094359,0.0173064712,0.1297533179,Genuine
O16,T1,0.8359226337,0.2199263224,0.0122309609,0.0911518125,0.0166723785,0.1202489785,Genuine
O17,T1,0.8609578248,0.1454483495,0.0111960325,0.0556658888,0.0247210719,0.1175092525,Genuine
O18,T1,0.9478561681,0.0291920973,0.0026055468,0.3128709164,0.0194263215,0.1096633243,Genuine
O19,T1,0.9197451132,0.1668499193,0.012210599,0.0582989322,0.0171254615,0.096947159,Genuine
O20,T1,0.8776059938,0.0564482399,0.00480609,0.2977760708,0.0201455813,0.1175537174,Genuine
O1,T2,0.9190497074,0.0583472951,0.0036626446,0.263130388,0.035342205,0.1650536387,Genuine
O2,T2,0.8686954902,0.0621985758,0.0040673099,0.3323803252,0.0325691577,0.1706403535,Genuine
O3,T2,0.913472679,0.0569014187,0.0022953015,0.2826292793,0.023890935,0.0781651399,Genuine
O4,T2,0.819297396,0.1316540673,0.0082112936,0.0504759297,0.0233275543,0.1238877132,Genuine
O5,T2,0.9705198897,0.0161197425,0.0015486591,0.2350258502,0.0358930609,0.1601872981,Genuine
O6,T2,0.9604721539,0.0186215003,0.0027159876,0.2971796237,0.0364775208,0.1681265059,Genuine
O7,T2,0.9191604737,0.1381418582,0.0153295259,0.0847095556,0.0573494214,0.1784549753,Genuine
O8,T2,0.910479642,0.0430583868,0.0065925499,0.0614213986,0.0392121501,0.1732078899,Genuine
O9,T2,0.950820716,0.0220334438,0.0018777009,0.2739564965,0.0360834337,0.1597845124,Genuine
O10,T2,0.9672695349,0.016963812,0.0030747083,0.2948969822,0.0359187282,0.1625515268,Genuine
O11,T2,0.9091832223,0.0374971387,0.0055109911,0.229917841,0.0353426014,0.1638339328,Genuine
O12,T2,0.9360138055,0.0221542704,0.0024726485,0.3100345248,0.0355899014,0.1616885281,Genuine
O13,T2,0.9420832158,0.0322397236,0.0020869037,0.1972789953,0.0353108442,0.1612989763,Genuine
O14,T2,0.886747189,0.0527085456,0.0022617373,0.3399044823,0.0335912196,0.1613448078,Genuine
O15,T2,0.8165017605,0.2834066714,0.0161344999,0.1008265175,0.0336145229,0.1559186279,Genuine
O16,T2,0.8156544955,0.2952159825,0.0221868615,0.1579022328,0.0291401002,0.15327971,Genuine
O17,T2,0.8975110293,0.0845981384,0.012307206,0.1009146919,0.0446666929,0.1676529223,Genuine
O18,T2,0.9533107261,0.0404650035,0.0028246807,0.2480288421,0.0371285626,0.1587671477,Genuine
O19,T2,0.8861304267,0.1351859242,0.0120223256,0.0652176209,0.0286896936,0.1392964472,Genuine
O20,T2,0.9318814827,0.0414684999,0.0046818227,0.2611657702,0.0376441393,0.1743979139,Genuine
O1,T3,0.8778075141,0.1708264839,0.0147155756,0.0721660125,0.0307353095,0.1080643432,Genuine
O2,T3,0.9034525205,0.0736414195,0.0033528832,0.2781113233,0.0280803154,0.0949633798,Genuine
O3,T3,0.8929360635,0.0681729247,0.0030531681,0.2048656384,0.0286405545,0.0958948222,Genuine
O4,T3,0.8831733214,0.0647124994,0.001984692,0.2785921206,0.0285645523,0.0938460052,Genuine
O5,T3,0.9719088503,0.0173833244,0.0014305244,0.2691917923,0.0289884309,0.0940114522,Genuine
O6,T3,0.9631009409,0.0170338816,0.0019772414,0.309700255,0.0295840561,0.0942559763,Genuine
O7,T3,0.9263353498,0.1178132527,0.0105315306,0.057318137,0.0297295108,0.0929721108,Genuine
O8,T3,0.8378151863,0.1975774654,0.0167077706,0.1334320611,0.0259532126,0.1051354119,Genuine
O9,T3,0.940829658,0.0429528602,0.0028440481,0.2199302975,0.0283652839,0.0949093496,Genuine
O10,T3,0.9201470907,0.0508128012,0.0024792451,0.300260178,0.0288996065,0.0948761431,Genuine
O11,T3,0.8290868872,0.0856281596,0.0127568551,0.1856669504,0.0365310822,0.1206544991,Genuine
